[header]
width=32
height=32
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../normaltiles.png,32,32,0,0
tileset=../collision.png,32,32,0,0

[layer]
type=Map
data=
914,914,881,913,947,913,947,882,913,881,882,883,850,883,947,947,913,882,914,913,881,883,946,946,946,915,883,849,815,849,785,815,
915,900,946,913,946,947,946,946,946,915,945,883,131,132,131,163,163,131,815,914,815,945,914,913,849,957,958,959,164,915,851,851,
914,946,914,914,913,946,883,882,946,914,914,164,164,164,818,818,132,131,132,164,163,132,786,947,850,989,990,991,163,913,850,914,
914,914,914,913,913,932,946,945,914,883,132,164,131,815,815,815,164,163,163,131,132,164,164,131,164,132,164,164,163,849,881,882,
913,882,946,914,883,945,945,947,947,164,164,163,817,851,913,131,131,164,164,117,119,119,118,119,118,118,119,163,131,132,849,945,
881,882,947,882,882,947,883,883,131,131,132,164,946,914,946,163,132,131,60,477,478,477,510,511,477,478,511,57,163,132,946,849,
945,946,945,915,914,913,164,163,164,132,163,946,946,945,131,131,132,60,479,476,476,511,510,479,511,479,476,478,57,164,883,786,
882,914,914,914,882,131,132,132,131,164,945,913,785,131,132,163,60,479,478,477,478,478,476,477,478,478,511,510,476,53,785,786,
913,914,915,913,883,163,163,132,131,131,851,883,163,132,132,131,28,86,87,479,478,510,510,510,478,479,479,477,476,476,57,947,
947,946,883,915,132,164,164,163,163,132,163,849,164,163,131,163,132,132,817,22,511,478,511,510,478,478,510,511,510,478,478,53,
946,881,913,913,132,881,945,131,163,132,163,132,163,132,163,164,131,132,914,817,851,28,479,477,478,477,511,511,479,477,476,476,
881,946,883,947,164,786,883,786,164,131,131,163,163,900,132,163,164,164,915,851,946,914,28,478,479,479,510,478,476,476,477,477,
946,947,914,883,163,163,947,914,164,164,163,132,164,164,131,131,132,132,163,882,947,785,849,28,511,477,476,478,510,477,510,476,
914,915,947,915,131,132,132,131,163,164,164,131,164,163,164,164,164,932,163,132,883,913,851,947,124,477,511,478,510,476,479,476,
915,945,883,945,164,164,164,131,163,849,785,947,882,131,131,164,164,163,131,131,882,882,883,849,28,510,510,477,476,476,510,510,
945,914,914,913,163,132,132,132,132,914,882,945,849,883,131,132,132,132,132,163,815,883,851,945,60,477,478,477,479,476,511,476,
947,883,915,946,131,900,164,131,131,915,849,851,882,883,883,132,132,131,163,132,913,851,818,883,126,479,510,510,477,477,479,510,
915,882,913,883,131,131,132,163,132,883,946,882,947,947,913,163,163,164,132,131,881,785,946,60,476,477,477,477,510,511,478,479,
881,914,883,915,163,131,132,163,132,164,946,883,947,946,945,132,132,163,131,883,850,882,915,126,477,477,510,479,510,476,476,511,
883,882,883,163,163,163,131,163,164,131,850,913,818,883,850,163,132,132,786,883,913,817,54,479,511,510,476,511,478,511,510,477,
913,914,946,163,164,132,131,163,131,132,913,946,914,946,163,163,164,164,881,946,817,60,477,511,476,510,479,476,510,477,477,511,
946,915,946,163,131,131,785,131,163,881,851,817,786,131,131,164,163,164,815,817,851,124,477,476,476,479,511,511,479,510,511,479,
883,947,163,163,163,849,850,164,163,883,946,881,883,131,163,164,164,131,913,945,849,124,479,476,478,510,479,478,476,477,511,477,
883,882,164,131,915,817,882,164,164,913,947,913,817,131,164,132,131,132,883,915,915,92,511,478,477,510,511,477,479,476,478,479,
913,883,164,131,164,882,164,131,163,945,786,947,945,132,131,132,164,850,914,851,914,92,476,476,510,510,511,476,511,476,479,476,
883,915,913,163,132,164,164,131,132,164,850,915,946,132,132,131,883,815,850,818,945,28,476,511,479,511,478,510,479,476,510,476,
883,913,882,915,132,164,132,132,132,163,164,132,164,132,164,817,786,946,945,882,850,945,28,477,510,476,477,478,511,511,510,479,
881,915,945,914,914,164,132,132,164,131,163,163,163,164,164,914,882,815,849,883,881,883,914,92,476,479,511,477,477,478,479,511,
947,882,945,881,883,946,131,131,131,163,132,131,16,131,131,882,849,786,818,785,883,851,913,92,511,510,479,479,511,510,477,478,
915,882,881,882,945,915,883,132,164,164,163,137,39,138,163,883,915,815,851,946,947,946,785,92,477,479,478,478,477,476,479,510,
946,882,914,913,947,915,946,945,913,131,164,103,39,144,164,132,882,881,945,945,849,883,883,92,511,476,510,510,478,511,476,476,
947,946,882,914,913,914,945,945,915,883,913,131,143,144,785,945,914,850,818,945,850,947,882,92,479,510,479,479,479,476,511,479

[layer]
type=Collision
data=
1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,
